ProductId,ProductCategory,ProductTitle,ProductReference,ProductPrice,ProductImageUrl
1236,Make-up/Cosmetic mirror,b'Double - sided mirror',Art. nr 9504,12.59,http://donegal.com.pl/2621-large_default/lusterko-kosmetyczne-okragle.jpg
1233,Make-up/Cosmetic mirror,b'One - sided mirror',Art. nr 9501,7.89,http://donegal.com.pl/2622-large_default/lusterko-kosmetyczne-colour-burst-.jpg
1228,Make-up/Cosmetic mirror,b'One - sided mirror',Art. nr 9254,9.99,http://donegal.com.pl/2623-large_default/lusterko-kosmetyczne-mirra-flex.jpg
1230,Make-up/Cosmetic mirror,b'One - sided mirror',Art. nr 9256,18.59,http://donegal.com.pl/2624-large_default/lusterko-kosmetyczne-prost.jpg
1202,Make-up/Cosmetic mirror,b'Double - sided pocket mirror',Art. nr 4502,7.39,http://donegal.com.pl/2625-large_default/lusterko-wild-thing-dwustronne.jpg

2995,Hair brushes/Hair brushes,b'Detangler hair brush TT - HAIR',Art. nr 1218,16.49,http://donegal.com.pl/1212-large_default/szczotka-do-wlosow-tt-hair.jpg
3221,Hair brushes/Hair brushes,b'Detangler hair brush TT - HAIR',Art. nr 1233,24.89,http://donegal.com.pl/1337-large_default/szczotka-do-wlosow-tt-hair-chrome-look.jpg
3162,Hair brushes/Hair brushes,b'Detangler hair brush TT - HAIR',Art. nr 1231,9.29,http://donegal.com.pl/2257-large_default/szczotka-do-wlosow-tt-hair.jpg
3679,Hair brushes/Hair brushes,b'Detangler hair brush TT - HAIR',Art. nr 1245,14.89,http://donegal.com.pl/2268-large_default/szczotka-do-wlosow-zamykana.jpg
3745,Hair brushes/Hair brushes,b'Vented hair brush Natural & synthetic bristles',Art. nr 1260,17.89,http://donegal.com.pl/2224-large_default/1260.jpg
3746,Hair brushes/Hair brushes,b'Teasing hair brush',Art. nr 1261,13.69,http://donegal.com.pl/2225-large_default/1261.jpg
3227,Hair brushes/Hair brushes,b'Hair brush FUN BRUSH',Art. nr 1242,11.99,http://donegal.com.pl/871-large_default/szczotka-do-wlosow-fun-brush.jpg
892,Hair brushes/Hair brushes,b'Hair brush OOZY BRUSH',Art. nr 1155,10.59,http://donegal.com.pl/1942-large_default/szczotka-do-wlosow.jpg
3158,Hair brushes/Hair brushes,b'Hair brush OOZY BRUSH',Art. nr 1240,13.49,http://donegal.com.pl/1119-large_default/szczotka-do-wlosow-oozy-brush.jpg
3597,Hair brushes/Hair brushes,b'Hair brush Natural bristle',Art. nr 1248,12.59,http://donegal.com.pl/137-large_default/szczotka-do-wlosow-z-naturalnym-wlosiem.jpg
3593,Hair brushes/Hair brushes,b'Hair brush',Art. nr 1247,7.99,http://donegal.com.pl/976-large_default/szczotka-do-wlosow.jpg
2134,Hair brushes/Hair brushes,b'Hair brush PREMIUM PLUS',Art. nr 1151,9.89,http://donegal.com.pl/1813-large_default/szczotka-z-poduszka.jpg
2130,Hair brushes/Hair brushes,b'Hair brush Natural bristle',Art. nr 1140,22.49,http://donegal.com.pl/2398-large_default/szczotka-z-naturalnym-wlosiem.jpg
2129,Hair brushes/Hair brushes,b'Hair brush',Art. nr 1139,12.99,http://donegal.com.pl/2397-large_default/szczotka-z-poduszka-igly.jpg
2131,Hair brushes/Hair brushes,b'Hair brush',Art. nr 1141,10.69,http://donegal.com.pl/2396-large_default/szczotka-do-wlosow-z-poduszka-waska-igly.jpg
2132,Hair brushes/Hair brushes,b'Hair brush',Art. nr 1142,11.19,http://donegal.com.pl/2395-large_default/szczotka-waska-igly.jpg
